Movie Name,Release Period,Release Period2,Release Period3,Whether Remake,whether franchise ,Whether Franchise,Genre,new actor,New Actor2,new director,New Director2,new music ,New Music Director,Lead Star,Director,Music Director,Number of Screens,Budget(INR),Revenue(INR),Verdict
Golden Boys,1,Normal,0,No,0,No,suspense,1,Yes,0,No,0,No,Jeet Goswami,Ravi Varma,Baba Jagirdar,5,"₹ 50,00,000.00","₹ 85,000.00",Flop
Kaccha Limboo,0,Holiday,0,No,0,No,drama,1,Yes,0,No,1,Yes,Karan Bhanushali,Sagar Ballary,Amardeep Nijjer,75,"₹ 1,50,00,000.00","₹ 8,25,000.00",Flop
Not A Love Story,0,Holiday,0,No,0,No,thriller,0,No,0,No,0,No,Mahie Gill,Ram Gopal Verma,Sandeep Chowta,525,"₹ 7,50,00,000.00","₹ 5,67,00,000.00",Average
Qaidi Band,0,Holiday,0,No,0,No,drama,1,Yes,0,No,0,No,Aadar Jain,Habib Faisal,Amit Trivedi,800,"₹ 21,00,00,000.00","₹ 45,00,000.00",Flop
Chaatwali,0,Holiday,0,No,0,No,adult,1,Yes,1,Yes,1,Yes,Aadil Khan,Aadil Khan,Babloo Ustad,1,"₹ 10,00,000.00","₹ 10,75,000.00",Hit
Shuttlecock Boys,1,Normal,0,No,0,No,comedy,1,Yes,1,Yes,1,Yes,Aakar Kaushik,Hemant Gaba,Avinash Baghel,10,"₹ 50,00,000.00","₹ 1,70,000.00",Flop
Dirty Marriage,0,Holiday,0,No,0,No,adult,1,Yes,0,No,1,Yes,Aakash,Priyanka,Dharma,2,"₹ 15,00,000.00","₹ 35,000.00",Flop
Future To Bright Hai Ji,0,Holiday,0,No,0,No,drama,0,No,1,Yes,1,Yes,Aamir Bashir,Sanjay Amar,Amir Ali,30,"₹ 1,50,00,000.00","₹ 8,25,000.00",Flop
Ghajini,0,Holiday,1,Yes,0,No,action,0,No,1,Yes,0,No,Aamir Khan,A.R. Murugadoss,A.R. Rehman,1550,"₹ 52,00,00,000.00","₹ 1,94,58,20,000.00",Blockbuster
Taare Zameen Par,0,Holiday,0,No,0,No,drama,0,No,1,Yes,0,No,Aamir Khan,Aamir Khan,Shankar - Ehsaan - Loy,500,"₹ 18,00,00,000.00","₹ 87,57,85,000.00",Blockbuster
Mangal Pandey - The Rising,0,Holiday,0,No,0,No,drama,0,No,0,No,0,No,Aamir Khan,Ketan Mehta,A.R. Rehman,675,"₹ 37,00,00,000.00","₹ 52,57,85,000.00",Hit
Fanaa,1,Normal,0,No,0,No,love_story,0,No,0,No,0,No,Aamir Khan,Kunal Kohli,Jatin - Lalit,650,"₹ 30,00,00,000.00","₹ 1,05,48,00,000.00",Blockbuster
Dangal,0,Holiday,0,No,0,No,drama,0,No,0,No,0,No,Aamir Khan,Nitish Tiwari,Pritam,4250,"₹ 1,32,00,00,000.00","₹ 7,02,47,50,000.00",Blockbuster
3 Idiots,0,Holiday,0,No,0,No,drama,0,No,0,No,0,No,Aamir Khan,Rajkumar Hirani,Shantanu Moitra,1750,"₹ 77,00,00,000.00","₹ 3,49,10,35,000.00",Blockbuster
PK,1,Normal,0,No,0,No,drama,0,No,0,No,0,No,Aamir Khan,Rajkumar Hirani,Ajay - Atul,3600,"₹ 1,22,00,00,000.00","₹ 6,16,03,62,500.00",Blockbuster
Rang De Basanti,0,Holiday,0,No,0,No,drama,0,No,0,No,0,No,Aamir Khan,Rakesh Omprakash Mehra,A.R. Rehman,600,"₹ 28,00,00,000.00","₹ 97,90,80,000.00",Blockbuster
Talaash,1,Normal,0,No,0,No,thriller,0,No,0,No,0,No,Aamir Khan,Reema Kagti,Ram Sampath,2550,"₹ 71,00,00,000.00","₹ 1,72,97,17,500.00",Blockbuster
Dhoom 3,1,Normal,0,No,1,Yes,action,0,No,0,No,0,No,Aamir Khan,Vijay Krishna Acharya,Pritam,3650,"₹ 1,75,00,00,000.00","₹ 5,24,37,60,000.00",Blockbuster
Pyaar Mein Aisa Hota Hai,0,Holiday,0,No,0,No,thriller,1,Yes,1,Yes,1,Yes,Aanamika Bawa,Rajesh Kumar,Shabab Azmi,5,"₹ 55,00,000.00","₹ 3,50,000.00",Flop
Gurjar Aandolan - A Fight For Right,1,Normal,0,No,0,No,drama,1,Yes,1,Yes,1,Yes,Aarun Nagar,Aarun Nagar,Ashish Donald,5,"₹ 65,00,000.00","₹ 5,75,000.00",Flop
Yehi Hai High Society,0,Holiday,0,No,0,No,thriller,0,No,0,No,0,No,Aaryan,Ravi Sinha,S. Paul,20,"₹ 65,00,000.00","₹ 40,00,000.00",Flop
Say Yes To Love,1,Normal,0,No,0,No,love_story,1,Yes,0,No,0,No,Aasad Mirza,Mahrukh Mirza,Jatin Pandit,30,"₹ 1,75,00,000.00","₹ 5,25,000.00",Flop
Dreams - Sapnay Sach Honge...,0,Holiday,0,No,0,No,love_story,1,Yes,1,Yes,0,No,Aashish Chanana,Aashish Chanana,Sajid - Wajid,25,"₹ 1,25,00,000.00","₹ 13,75,000.00",Flop
Three - Love Lies Betrayal,1,Normal,0,No,0,No,thriller,0,No,1,Yes,0,No,Aashish Chaudhary,Vishal Pandya,Chirantan Bhatt,325,"₹ 4,00,00,000.00","₹ 1,00,00,000.00",Flop
Malegaon Me Gadbad Ghotala,1,Normal,0,No,0,No,comedy,1,Yes,1,Yes,0,No,Aasif Albela,Anwar Shaikh,Sahil Patil,5,"₹ 10,00,000.00","₹ 3,00,000.00",Flop
Khota Sikka - Jaat Ke Thaath,1,Normal,0,No,0,No,comedy,1,Yes,1,Yes,1,Yes,Aatri Kumar,Ram Pratap Singh,Udbhav,50,"₹ 90,00,000.00","₹ 6,00,000.00",Flop
Hi Fi Log,0,Holiday,0,No,0,No,adult,1,Yes,1,Yes,0,No,Abhay Bakshi,Baba Jagirdar,Baba Jagirdar,2,"₹ 15,00,000.00","₹ 5,00,000.00",Flop
Dev D,0,Holiday,0,No,0,No,drama,0,No,0,No,0,No,Abhay Deol,Anurag Kashyap,Amit Trivedi,525,"₹ 11,00,00,000.00","₹ 20,82,00,000.00",Hit
One By Two,1,Normal,0,No,0,No,rom__com,0,No,1,Yes,0,No,Abhay Deol,Devika Bhagat,Shankar - Ehsaan - Loy,500,"₹ 21,00,00,000.00","₹ 3,77,00,000.00",Flop
Oye Lucky! Lucky Oye!,1,Normal,0,No,0,No,comedy,0,No,0,No,0,No,Abhay Deol,Dibakar Banerjee,Sneha Khanwalkar,400,"₹ 12,00,00,000.00","₹ 10,06,20,000.00",Average
Socha Na Tha,0,Holiday,0,No,0,No,rom__com,1,Yes,1,Yes,0,No,Abhay Deol,Imtiaz Ali,Sandesh Shandilya,110,"₹ 5,00,00,000.00","₹ 5,28,00,000.00",Hit
Happy Bhaag Jayegi,1,Normal,0,No,0,No,rom__com,0,No,0,No,0,No,Abhay Deol,Mudassar Aziz,Sohail Sen,1000,"₹ 20,00,00,000.00","₹ 39,15,00,000.00",Hit
Manorama Six Feet Under,1,Normal,0,No,0,No,suspense,0,No,1,Yes,1,Yes,Abhay Deol,Navdeep Singh,Jayesh Gandhi,75,"₹ 3,25,00,000.00","₹ 58,00,000.00",Flop
Honeymoon Travels Pvt. Ltd.,1,Normal,0,No,0,No,rom__com,0,No,1,Yes,0,No,Abhay Deol,Reema Kagti,Vishal - Shekhar,350,"₹ 10,00,00,000.00","₹ 19,51,60,000.00",Hit
Ek Chalis Ki Last Local,1,Normal,0,No,0,No,comedy,0,No,1,Yes,0,No,Abhay Deol,Sanjay Khanduri,Sandesh Shandilya,140,"₹ 3,50,00,000.00","₹ 2,50,00,000.00",Flop
Ahista Ahista,0,Holiday,0,No,0,No,love_story,0,No,1,Yes,0,No,Abhay Deol,Shivam Nair,Himesh Reshammiya,200,"₹ 4,00,00,000.00","₹ 2,31,00,000.00",Flop
Lottery,0,Holiday,0,No,0,No,drama,1,Yes,1,Yes,1,Yes,Abhijeet Sawant,Hemant Prabhu,Santosh Singh,40,"₹ 1,75,00,000.00","₹ 4,25,000.00",Flop
Roar - Tigers Of The Sundarbans,1,Normal,0,No,0,No,thriller,1,Yes,1,Yes,1,Yes,Abhinav Shukla,Kamal Sadanah,John Stewart,1250,"₹ 25,00,00,000.00","₹ 13,46,12,500.00",Flop
Chakradhaar,1,Normal,0,No,0,No,action,1,Yes,1,Yes,0,No,Abhishek Anand,Dharam Prakash,Anand Raj Anand,250,"₹ 4,50,00,000.00","₹ 63,00,000.00",Flop
Players,1,Normal,1,Yes,0,No,action,0,No,0,No,0,No,Abhishek Bachchan,Abbas - Mustan,Pritam,1900,"₹ 55,00,00,000.00","₹ 48,56,00,000.00",Average
Game,0,Holiday,1,Yes,0,No,thriller,0,No,1,Yes,0,No,Abhishek Bachchan,Abhinay Deo,Shankar - Ehsaan - Loy,1100,"₹ 34,00,00,000.00","₹ 12,87,92,500.00",Flop
Khelein Hum Jee Jaan Sey,1,Normal,0,No,0,No,drama,0,No,0,No,0,No,Abhishek Bachchan,Ashutosh Gowariker,Sohail Sen,750,"₹ 39,00,00,000.00","₹ 7,66,53,750.00",Flop
Drona,0,Holiday,0,No,0,No,action,0,No,0,No,0,No,Abhishek Bachchan,Goldie Behl,Dhruv Ghanekar,750,"₹ 43,00,00,000.00","₹ 18,06,60,000.00",Flop
Guru,0,Holiday,0,No,0,No,drama,0,No,0,No,0,No,Abhishek Bachchan,Mani Ratnam,A.R. Rehman,650,"₹ 22,00,00,000.00","₹ 83,67,10,000.00",Blockbuster
Raavan,1,Normal,1,Yes,0,No,action,0,No,0,No,0,No,Abhishek Bachchan,Mani Ratnam,A.R. Rehman,1350,"₹ 55,00,00,000.00","₹ 49,57,22,500.00",Average
Delhi 6,0,Holiday,0,No,0,No,drama,0,No,0,No,0,No,Abhishek Bachchan,Rakesh Omprakash Mehra,A.R. Rehman,1100,"₹ 48,00,00,000.00","₹ 52,17,50,000.00",Hit
Bluffmaster,1,Normal,0,No,0,No,thriller,0,No,0,No,0,No,Abhishek Bachchan,Rohan Sippy,Vishal - Shekhar,350,"₹ 10,00,00,000.00","₹ 32,71,00,000.00",Blockbuster
Dum Maaro Dum,0,Holiday,0,No,0,No,thriller,0,No,0,No,0,No,Abhishek Bachchan,Rohan Sippy,Pritam,1350,"₹ 31,00,00,000.00","₹ 51,19,40,000.00",Hit
Bunty Aur Babli,1,Normal,0,No,0,No,comedy,0,No,0,No,0,No,Abhishek Bachchan,Shaad Ali,Shankar - Ehsaan - Loy,475,"₹ 12,50,00,000.00","₹ 63,74,05,000.00",Blockbuster
Jhoom Barabar Jhoom,1,Normal,0,No,0,No,rom__com,0,No,0,No,0,No,Abhishek Bachchan,Shaad Ali,Shankar - Ehsaan - Loy,950,"₹ 27,00,00,000.00","₹ 48,52,50,000.00",Hit
Dostana,1,Normal,0,No,0,No,rom__com,0,No,1,Yes,0,No,Abhishek Bachchan,Tarun Mansukhani,Vishal - Shekhar,1000,"₹ 40,00,00,000.00","₹ 87,15,17,500.00",Blockbuster
All Is Well,1,Normal,0,No,0,No,drama,0,No,0,No,0,No,Abhishek Bachchan,Umesh Shukla,Himesh Reshammiya,1650,"₹ 34,00,00,000.00","₹ 23,03,20,000.00",Flop
Apne Ghayal Indian,1,Normal,0,No,0,No,drama,1,Yes,1,Yes,1,Yes,Abhishek Gupta,Rajesh Dubey,Suresh Kumar,1,"₹ 10,00,000.00","₹ 1,40,000.00",Flop
Naya Pata,0,Holiday,0,No,0,No,drama,0,No,1,Yes,1,Yes,Abhishek Sharma,Pawan K. Shrivastava,Rupesh Pathak,8,"₹ 10,00,000.00","₹ 16,000.00",Flop
A Journey Of Samyak Buddha,1,Normal,0,No,0,No,drama,1,Yes,1,Yes,1,Yes,Abhishek Urade,Pravin Damle,Pravin Damle,8,"₹ 20,00,000.00","₹ 3,50,000.00",Flop
Hum Hai Raahi Car Ke,0,Holiday,0,No,0,No,rom__com,0,No,0,No,0,No,Adah Sharma,Jyotin Goel,Sangeet - Siddharth,300,"₹ 5,00,00,000.00","₹ 82,00,000.00",Flop
Strings - Bound By Faith,1,Normal,0,No,0,No,drama,1,Yes,0,No,1,Yes,Adam Bedi,Sanjay Jha,Zubeen Garg,6,"₹ 90,00,000.00","₹ 72,500.00",Flop
Contract,1,Normal,0,No,0,No,thriller,1,Yes,0,No,0,No,Adhvik Mahajan,Ram Gopal Verma,Amar Mohile,350,"₹ 7,50,00,000.00","₹ 3,64,00,000.00",Flop
Haal - E - Dil,1,Normal,0,No,0,No,love_story,1,Yes,0,No,0,No,Adhyayan Suman,Anil Devgan,Vishal Bhardwaj,225,"₹ 6,00,00,000.00","₹ 72,00,000.00",Flop
Dehraadun Diary,1,Normal,0,No,0,No,thriller,0,No,0,No,0,No,Adhyayan Suman,Milind Ukey,Hanif Sheikh,175,"₹ 4,25,00,000.00","₹ 34,00,000.00",Flop
Jashnn,1,Normal,0,No,0,No,drama,0,No,0,No,0,No,Adhyayan Suman,Raksha Mistry,Sandesh Shandilya,550,"₹ 7,25,00,000.00","₹ 3,89,00,000.00",Flop
Heartless,1,Normal,0,No,0,No,thriller,0,No,1,Yes,0,No,Adhyayan Suman,Shekhar Suman,Gaurav Dagaonkar,400,"₹ 11,00,00,000.00","₹ 1,18,00,000.00",Flop
Zed Plus,1,Normal,0,No,0,No,drama,0,No,0,No,0,No,Adil Hussain,Chandraprakash Dwivedi,Sukhwinder Singh,350,"₹ 5,50,00,000.00","₹ 77,00,000.00",Flop
For Real,1,Normal,0,No,0,No,drama,1,Yes,1,Yes,0,No,Adil Hussain,Sona Jain,Zakir Hussain,30,"₹ 1,00,00,000.00","₹ 11,25,000.00",Flop
Lessons In Forgetting,0,Holiday,0,No,0,No,drama,0,No,1,Yes,0,No,Adil Hussain,Unni Vijayan,Ganesh Kumaresh,2,"₹ 6,00,00,000.00","₹ 60,000.00",Flop
Poorna,1,Normal,0,No,0,No,drama,1,Yes,0,No,0,No,Aditi Inamdar,Rahul Bose,Salim - Sulaiman,300,"₹ 3,75,00,000.00","₹ 3,71,00,000.00",Average
Khanna & Iyer,0,Holiday,0,No,0,No,comedy,1,Yes,1,Yes,0,No,Aditi Sharma,Hemant Hegde,Tabun Sutradhar,70,"₹ 2,25,00,000.00","₹ 19,75,000.00",Flop
Shaapit,1,Normal,0,No,0,No,horror,1,Yes,0,No,1,Yes,Aditya Narayan,Vikram Bhatt,Nazam Sheraz,750,"₹ 9,00,00,000.00","₹ 10,43,00,000.00",Hit
Bandook,0,Holiday,0,No,0,No,drama,0,No,0,No,1,Yes,Aditya Om,Aditya Om,Nikhil Kamath,250,"₹ 4,50,00,000.00","₹ 21,00,000.00",Flop
Fitoor,0,Holiday,0,No,0,No,drama,0,No,0,No,0,No,Aditya Roy Kapoor,Abhishek Kapoor,Amit Trivedi,1500,"₹ 71,00,00,000.00","₹ 39,78,25,000.00",Flop
Daawat E Ishq,1,Normal,0,No,0,No,love_story,0,No,0,No,0,No,Aditya Roy Kapoor,Habib Faisal,Sajid - Wajid,1900,"₹ 32,00,00,000.00","₹ 34,13,00,000.00",Hit
Aashiqui 2,1,Normal,1,Yes,0,No,love_story,0,No,0,No,0,No,Aditya Roy Kapoor,Mohit Suri,Mithoon,1150,"₹ 15,00,00,000.00","₹ 1,09,38,00,000.00",Blockbuster
Ok Jaanu,0,Holiday,1,Yes,0,No,drama,0,No,0,No,0,No,Aditya Roy Kapoor,Shaad Ali,A.R. Rehman,1400,"₹ 27,00,00,000.00","₹ 37,50,20,000.00",Hit
Yeh Jo Mohabbat Hai,1,Normal,0,No,0,No,love_story,1,Yes,1,Yes,0,No,Aditya Samanta,Shree Narayan Singh,Anu Malik,125,"₹ 8,00,00,000.00","₹ 29,34,688.00",Flop
Dil Se Poochh... Kidhar Jaana Hai,1,Normal,0,No,0,No,drama,0,No,1,Yes,0,No,Aditya Shrivastava,Shrirang Dhhavale,Aadesh Shrivastava,10,"₹ 1,50,00,000.00","₹ 2,10,000.00",Flop
Ek Aur Murder,1,Normal,0,No,0,No,adult,1,Yes,0,No,0,No,Affi Khan,Suresh Jain,Shivam Farhaan,2,"₹ 20,00,000.00","₹ 10,50,000.00",Flop
Feel - The Touch,1,Normal,0,No,0,No,adult,0,No,1,Yes,1,Yes,Afsar Khan,Shakeel S. Saifee,C.L. John,2,"₹ 15,00,000.00","₹ 4,75,000.00",Flop
1920 - Evil Returns,0,Holiday,0,No,1,Yes,horror,0,No,1,Yes,0,No,Aftab Shivdasani,Bhushan Patel,Chirantan Bhatt,1300,"₹ 9,00,00,000.00","₹ 28,04,00,000.00",Blockbuster
Bin Bulaye Baraati,1,Normal,0,No,0,No,comedy,0,No,0,No,0,No,Aftab Shivdasani,Chandrakant Singh,Anand Raj Anand,500,"₹ 10,00,00,000.00","₹ 3,24,00,000.00",Flop
Jaane Hoga Kya,1,Normal,0,No,0,No,fantasy,0,No,1,Yes,0,No,Aftab Shivdasani,Glen Barreto,Sajid - Wajid,55,"₹ 5,50,00,000.00","₹ 28,50,000.00",Flop
Aao Wish Karein,1,Normal,0,No,0,No,drama,0,No,0,No,1,Yes,Aftab Shivdasani,Glen Barreto,Ankur Tewari,70,"₹ 5,75,00,000.00","₹ 17,00,000.00",Flop
Darwaza Bandh Rakho,1,Normal,0,No,0,No,comedy,0,No,0,No,0,No,Aftab Shivdasani,J.D. Chakravarthi,Nitin Raikwar,175,"₹ 3,75,00,000.00","₹ 2,32,00,000.00",Flop
Koi Aap Sa,0,Holiday,0,No,0,No,rom__com,0,No,1,Yes,0,No,Aftab Shivdasani,Partho Mitra,Himesh Reshammiya,125,"₹ 4,00,00,000.00","₹ 2,24,80,000.00",Flop
Aloo Chaat,1,Normal,0,No,0,No,comedy,0,No,0,No,1,Yes,Aftab Shivdasani,Robby Grewal,RDB,400,"₹ 10,00,00,000.00","₹ 7,46,80,000.00",Flop
Ankahee,1,Normal,0,No,0,No,thriller,0,No,0,No,0,No,Aftab Shivdasani,Vikram Bhatt,Pritam,125,"₹ 6,00,00,000.00","₹ 1,76,30,000.00",Flop
Red - The Dark Side,1,Normal,0,No,0,No,thriller,0,No,0,No,0,No,Aftab Shivdasani,Vikram Bhatt,Himesh Reshammiya,275,"₹ 4,00,00,000.00","₹ 5,59,00,000.00",Hit
My Friend Ganesha,1,Normal,0,No,0,No,drama,0,No,0,No,1,Yes,Ahsaas Channa,Rajiv S. Ruia,Nirmal - Shekhar,100,"₹ 2,25,00,000.00","₹ 1,59,00,000.00",Flop
Umrao Jaan,0,Holiday,1,Yes,0,No,drama,0,No,0,No,0,No,Aishwarya Rai,J.P. Dutta,Anu Malik,500,"₹ 23,00,00,000.00","₹ 19,52,50,000.00",Average
Provoked,1,Normal,0,No,0,No,drama,0,No,0,No,0,No,Aishwarya Rai,Jag Mundhra,A.R. Rehman,90,"₹ 12,00,00,000.00","₹ 13,27,97,500.00",Hit
The Mistress Of Spices,0,Holiday,0,No,0,No,drama,0,No,0,No,1,Yes,Aishwarya Rai,Somnath Sen,Mahesh Balraj,50,"₹ 9,00,00,000.00","₹ 3,44,00,000.00",Flop
U Me Aur Hum,0,Holiday,0,No,0,No,love_story,0,No,1,Yes,0,No,Ajay Devgn,Ajay Devgn,Vishal Bhardwaj,600,"₹ 25,00,00,000.00","₹ 40,02,00,000.00",Hit
Shivaay,0,Holiday,0,No,0,No,thriller,0,No,0,No,1,Yes,Ajay Devgn,Ajay Devgn,Jasleen Royal,2950,"₹ 1,03,00,00,000.00","₹ 1,24,14,55,000.00",Hit
Blackmail,1,Normal,0,No,0,No,thriller,0,No,0,No,0,No,Ajay Devgn,Anil Devgan,Himesh Reshammiya,325,"₹ 9,50,00,000.00","₹ 6,58,72,500.00",Flop
Cash,1,Normal,0,No,0,No,thriller,0,No,0,No,0,No,Ajay Devgn,Anubhav Sinha,Vishal - Shekhar,1000,"₹ 32,00,00,000.00","₹ 29,30,05,000.00",Average
Atithi Tum Kab Jaoge?,1,Normal,0,No,0,No,comedy,0,No,0,No,0,No,Ajay Devgn,Ashwini Dhir,Pritam,1050,"₹ 22,00,00,000.00","₹ 43,31,10,000.00",Hit
Son Of Sardaar,0,Holiday,1,Yes,0,No,masala,0,No,0,No,0,No,Ajay Devgn,Ashwini Dhir,Himesh Reshammiya,2000,"₹ 67,00,00,000.00","₹ 1,35,12,47,500.00",Blockbuster
Rascals,0,Holiday,0,No,0,No,comedy,0,No,0,No,0,No,Ajay Devgn,David Dhawan,Vishal - Shekhar,1850,"₹ 46,00,00,000.00","₹ 51,01,81,250.00",Hit
Main Aisa Hi Hoon,0,Holiday,0,No,0,No,drama,0,No,0,No,0,No,Ajay Devgn,Harry Baweja,Himesh Reshammiya,250,"₹ 7,50,00,000.00","₹ 5,17,75,000.00",Flop
Shikhar,0,Holiday,0,No,0,No,drama,0,No,0,No,0,No,Ajay Devgn,John M. Matthan,Viju Shah,350,"₹ 14,00,00,000.00","₹ 10,34,50,000.00",Flop
Insan,0,Holiday,0,No,0,No,action,0,No,0,No,0,No,Ajay Devgn,K. Subhash,Himesh Reshammiya,350,"₹ 12,50,00,000.00","₹ 10,41,00,000.00",Average
Zameer - The Fire Within,0,Holiday,0,No,0,No,thriller,0,No,1,Yes,0,No,Ajay Devgn,Kamal,Jatin - Lalit,55,"₹ 4,50,00,000.00","₹ 1,58,50,000.00",Flop
Toonpur Ka Superrhero,0,Holiday,0,No,0,No,fantasy,0,No,1,Yes,0,No,Ajay Devgn,Kireet Khurana,Anu Malik,500,"₹ 25,00,00,000.00","₹ 5,10,46,250.00",Flop
Dil Toh Baccha Hai Ji,1,Normal,0,No,0,No,comedy,0,No,0,No,0,No,Ajay Devgn,Madhur Bhandarkar,Pritam,1350,"₹ 29,00,00,000.00","₹ 40,46,00,000.00",Hit
Tango Charlie,0,Holiday,0,No,0,No,action,0,No,0,No,0,No,Ajay Devgn,Mani Shankar,Anu Malik,325,"₹ 13,50,00,000.00","₹ 11,48,56,250.00",Average
Once Upon A Time In Mumbaai,1,Normal,0,No,0,No,drama,0,No,0,No,0,No,Ajay Devgn,Milan Luthria,Pritam,1400,"₹ 35,00,00,000.00","₹ 85,17,80,000.00",Blockbuster
Baadshaho,0,Holiday,0,No,0,No,action,0,No,0,No,0,No,Ajay Devgn,Milan Luthria,Ankit Tiwari,2850,"₹ 90,00,00,000.00","₹ 1,01,18,20,000.00",Hit
Drishyam,1,Normal,1,Yes,0,No,thriller,0,No,0,No,0,No,Ajay Devgn,Nishikant Kamat,Vishal Bhardwaj,2250,"₹ 62,00,00,000.00","₹ 1,10,42,60,000.00",Hit
Action Jackson,1,Normal,0,No,0,No,action,0,No,0,No,0,No,Ajay Devgn,Prabhu Deva,Himesh Reshammiya,3350,"₹ 93,00,00,000.00","₹ 88,87,17,500.00",Average
Apaharan,1,Normal,0,No,0,No,action,0,No,0,No,0,No,Ajay Devgn,Prakash Jha,Aadesh Shrivastava,425,"₹ 11,00,00,000.00","₹ 23,16,50,000.00",Blockbuster
Satyagraha,1,Normal,0,No,0,No,drama,0,No,0,No,0,No,Ajay Devgn,Prakash Jha,Salim - Sulaiman,2650,"₹ 73,00,00,000.00","₹ 91,00,75,000.00",Hit
Aakrosh,0,Holiday,0,No,0,No,thriller,0,No,0,No,0,No,Ajay Devgn,Priyadarshan,Pritam,1200,"₹ 38,00,00,000.00","₹ 19,40,30,000.00",Flop
Tezz,1,Normal,1,Yes,0,No,thriller,0,No,0,No,0,No,Ajay Devgn,Priyadarshan,Sajid - Wajid,1950,"₹ 52,00,00,000.00","₹ 26,12,37,500.00",Flop
Halla Bol,1,Normal,0,No,0,No,drama,0,No,0,No,0,No,Ajay Devgn,Rajkumar Santoshi,Sukhwinder Singh,925,"₹ 27,00,00,000.00","₹ 19,39,00,000.00",Flop
Golmaal - Fun Unlimited,1,Normal,0,No,1,Yes,comedy,0,No,0,No,0,No,Ajay Devgn,Rohit Shetty,Vishal - Shekhar,600,"₹ 15,00,00,000.00","₹ 46,72,60,000.00",Blockbuster
Sunday,0,Holiday,1,Yes,0,No,comedy,0,No,0,No,0,No,Ajay Devgn,Rohit Shetty,Raghav Sachar,900,"₹ 22,00,00,000.00","₹ 31,96,15,000.00",Hit
Golmaal Returns,0,Holiday,0,No,1,Yes,comedy,0,No,0,No,1,Yes,Ajay Devgn,Rohit Shetty,Ashish Pandit,1250,"₹ 35,00,00,000.00","₹ 80,00,80,000.00",Blockbuster
All The Best - Fun Begins,0,Holiday,0,No,0,No,comedy,0,No,0,No,0,No,Ajay Devgn,Rohit Shetty,Pritam,1300,"₹ 41,00,00,000.00","₹ 61,77,75,000.00",Hit
Golmaal 3,0,Holiday,0,No,1,Yes,comedy,0,No,0,No,0,No,Ajay Devgn,Rohit Shetty,Pritam,1750,"₹ 50,00,00,000.00","₹ 1,69,56,35,000.00",Blockbuster
Singham,1,Normal,1,Yes,0,No,action,0,No,0,No,0,No,Ajay Devgn,Rohit Shetty,Ajay - Atul,2050,"₹ 41,00,00,000.00","₹ 1,41,30,35,000.00",Blockbuster
Bol Bachchan,1,Normal,0,No,0,No,comedy,0,No,0,No,0,No,Ajay Devgn,Rohit Shetty,Ajay - Atul,2500,"₹ 66,00,00,000.00","₹ 1,59,66,40,000.00",Blockbuster
Singham Returns,0,Holiday,0,No,1,Yes,action,0,No,0,No,0,No,Ajay Devgn,Rohit Shetty,Honey Singh,3500,"₹ 1,05,00,00,000.00","₹ 2,16,56,97,500.00",Blockbuster
Golmaal Again,0,Holiday,0,No,1,Yes,comedy,0,No,0,No,1,Yes,Ajay Devgn,Rohit Shetty,DJ Chetas,3300,"₹ 1,42,00,00,000.00","₹ 3,11,04,50,000.00",Blockbuster
Himmatwala,0,Holiday,1,Yes,0,No,masala,0,No,0,No,0,No,Ajay Devgn,Sajid Khan,Sajid - Wajid,3150,"₹ 68,00,00,000.00","₹ 65,79,93,750.00",Average
Kaal,0,Holiday,0,No,0,No,thriller,0,No,1,Yes,0,No,Ajay Devgn,Soham Shah,Salim - Sulaiman,450,"₹ 13,00,00,000.00","₹ 33,11,75,000.00",Blockbuster
Omkara,1,Normal,0,No,0,No,drama,0,No,0,No,0,No,Ajay Devgn,Vishal Bhardwaj,Vishal Bhardwaj,625,"₹ 26,00,00,000.00","₹ 42,41,20,000.00",Hit
Pal Pal Dil Ke Ssaat,0,Holiday,0,No,0,No,drama,0,No,1,Yes,1,Yes,Ajay Jadeja,V.K. Kumar,Abhishek Ray,30,"₹ 1,50,00,000.00","₹ 8,00,000.00",Flop
Boyfriend.com,1,Normal,0,No,0,No,drama,1,Yes,1,Yes,1,Yes,Ajay Kumar,L.N. Masade,Harish Sharma,5,"₹ 25,00,000.00","₹ 1,70,000.00",Flop
Jeet Lenge Jahaan,1,Normal,0,No,0,No,drama,1,Yes,1,Yes,1,Yes,Ajay Shukla,Lalit M. Bisht,Raja Pandit,25,"₹ 1,50,00,000.00","₹ 5,25,000.00",Flop
Angry Young Man,1,Normal,0,No,0,No,action,1,Yes,1,Yes,0,No,Ajay Sinh Rathod,Ramesh Rout,Amjad - Nadeem,300,"₹ 4,75,00,000.00","₹ 23,25,000.00",Flop
Jai Balaji Mehndipur Wale,1,Normal,0,No,0,No,mythological,1,Yes,1,Yes,1,Yes,Ajay Soni,Sanjay Suryavanshi,Mike Mitra,5,"₹ 15,00,000.00","₹ 1,30,000.00",Flop
The World Of Fashion,1,Normal,0,No,0,No,drama,1,Yes,0,No,0,No,Ajaz Khan,Sanjay Khandelwal,Vaishnav Deva,5,"₹ 40,00,000.00","₹ 2,15,000.00",Flop
Lakeer Ka Fakeer,1,Normal,0,No,0,No,drama,0,No,1,Yes,1,Yes,Ajaz Khan,Zubair Khan,Dilshad,60,"₹ 1,25,00,000.00","₹ 21,75,000.00",Flop
