Movie Name,Release Period,Release Period2,Release Period3,Whether Remake,whether franchise ,Whether Franchise,Genre,new actor,New Actor2,new director,New Director2,new music ,New Music Director,Lead Star,Director,Music Director,Number of Screens,Budget(INR),Revenue(INR),Verdict
Shahrukh Bola Kubsoorat Hai Tu,0,Holiday,0,No,0,No,comedy,1,Yes,1,Yes,1,Yes,Pritika Chawla,Makarand Deshpande,Vasuda Sharma,90,"₹ 3,50,00,000.00","₹ 6,00,000.00",Flop
Mere Gharib Nawaz,0,Holiday,0,No,0,No,drama,1,Yes,0,No,0,No,Priya Singh,Dhirendra Agarwal,Ghulam Ali Chander,3,"₹ 75,00,000.00","₹ 1,45,000.00",Flop
Sunsaan Mahal,1,Normal,0,No,0,No,horror,1,Yes,1,Yes,0,No,Priyanka,Om Prakash Sharma,Saurabh Mukherjee,1,"₹ 15,00,000.00","₹ 13,00,000.00",Average
What's Your Raashee,0,Holiday,0,No,0,No,rom__com,0,No,0,No,0,No,Priyanka Chopra,Ashutosh Gowariker,Sohail Sen,725,"₹ 32,00,00,000.00","₹ 17,46,18,750.00",Flop
Pyaar Impossible!,1,Normal,0,No,0,No,rom__com,0,No,0,No,0,No,Priyanka Chopra,Jugal Hansraj,Salim - Sulaiman,425,"₹ 14,00,00,000.00","₹ 8,95,45,000.00",Flop
Fashion,0,Holiday,0,No,0,No,drama,0,No,0,No,0,No,Priyanka Chopra,Madhur Bhandarkar,Salim - Sulaiman,750,"₹ 20,00,00,000.00","₹ 39,29,45,000.00",Hit
Mary Kom,0,Holiday,0,No,0,No,drama,0,No,1,Yes,1,Yes,Priyanka Chopra,Omung Kumar,Shashi Suman,1900,"₹ 38,00,00,000.00","₹ 86,19,17,500.00",Blockbuster
Jai Gangaajal,0,Holiday,0,No,1,Yes,drama,0,No,0,No,0,No,Priyanka Chopra,Prakash Jha,Salim - Sulaiman,2500,"₹ 33,00,00,000.00","₹ 49,59,25,000.00",Hit
7 Khoon Maaf,0,Holiday,0,No,0,No,thriller,0,No,0,No,0,No,Priyanka Chopra,Vishal Bhardwaj,Vishal Bhardwaj,975,"₹ 25,00,00,000.00","₹ 30,07,00,000.00",Hit
Koi Mere Dil Mein Hai,1,Normal,0,No,0,No,love_story,0,No,1,Yes,0,No,Priyanshu Chatterjee,Deepak Ramsay,Nikhil - Vinay,50,"₹ 3,50,00,000.00","₹ 47,00,000.00",Flop
Utthaan,1,Normal,0,No,0,No,drama,0,No,0,No,1,Yes,Priyanshu Chatterjee,Ujjwal Chatterjee,Kumar Sanu,25,"₹ 3,00,00,000.00","₹ 12,00,000.00",Flop
Sanam Re,0,Holiday,0,No,0,No,love_story,0,No,0,No,0,No,Pulkit Samrat,Divya Khosla,Amal Malik,2000,"₹ 27,00,00,000.00","₹ 31,45,50,000.00",Hit
Fukrey,1,Normal,0,No,0,No,comedy,0,No,0,No,0,No,Pulkit Samrat,Mrighdeep Singh Lamba,Ram Sampath,1000,"₹ 19,00,00,000.00","₹ 49,01,75,000.00",Blockbuster
Fukrey Returns,1,Normal,0,No,1,Yes,comedy,0,No,0,No,1,Yes,Pulkit Samrat,Mrighdeep Singh Lamba,Shree - Isshq,1500,"₹ 29,00,00,000.00","₹ 1,12,28,05,000.00",Blockbuster
Bittoo Boss,0,Holiday,0,No,0,No,love_story,1,Yes,1,Yes,0,No,Pulkit Samrat,Supavitra Babul,Raghav Sachar,675,"₹ 10,00,00,000.00","₹ 2,72,00,000.00",Flop
